Id,Technique,Given Phrase,Typed Phrase,Minimum String Distance,Error Rate,Tempo (s),Characters written (including spaces),Words Written,WPM,Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
0,Reverse Crossing,CAN I SKATE WITH SISTER TODAY,CAN I SKATE WITH SISTER TODAY,0,0.0,126.1934456,29,6,2.852763059827253,10,1,13,2,11,9
0,Reverse Crossing,VOTE ACCORDING TO YOUR CONSCIENCE,VOTE ACCORDING TO YOUR CONSCIENCE,0,0.0,74.0530084,33,5,4.051152093369916,0,0,1,0,1,5
0,Reverse Crossing,MY BIKE HAS A FLAT TIRE,MY BIKE HAS A FLAT TIRE,0,0.0,80.1153077,23,6,4.493523277075299,0,0,6,2,0,3
0,Reverse Crossing,THE VENTILATION SYSTEM IS BROKEN,THE VENTILATION SYSTEM IS BROKEN,0,0.0,55.7632767,32,5,5.379884715418813,0,0,1,1,1,4
0,Reverse Crossing,THE COTTON IS HIGH,THE COTTON IS HIGH,0,0.0,44.1169666,18,4,5.440083906403483,1,0,1,1,0,4
