Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
3,Dwell Time,1,ACCOMPANIED BY AN ADULT,ACCOMPANIED BY AN ADULT,0.0,1.173913043478261,39.2935426,23,4,7.024054888855961,7.024054888855961,0.687135804344605,13,0,6,9,5,10
3,Dwell Time,2,HAIR GEL IS VERY GREASY,HAIR GEL IS VERY GREASY,0.0,1.4782608695652173,53.5181332,23,5,5.157130555517957,5.157130555517957,0.6352986916217772,1,0,0,2,2,4
3,Dwell Time,3,EVERYONE WANTS TO WIN THE LOTTERY,EVERYONE WANTS TO WIN THE LOTTERY,0.0,1.7272727272727273,87.3493452,33,6,4.533519960490786,4.533519960490786,0.6525521155251889,5,0,2,2,3,5
3,Dwell Time,4,GIVE ME ONE SPOONFUL OF COFFEE,GIVE ME A SPOONFUL OF COFFEE,0.1,1.8571428571428572,88.7780227,28,6,3.784720472266162,3.4062484250395455,0.5857305492792869,4,0,5,3,1,5
3,Dwell Time,5,TELL A LIE AND YOUR NOSE WILL GROW,TELL A LIE AND YOUR NOSE WILL GROW,0.0,1.2058823529411764,59.6192071,34,8,6.843432173052165,6.843432173052165,0.6876978409194577,0,0,2,1,3,5
