Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
4,Dwell Time,1,SAD TO HEAR THAT NEWS,SAD TO HEAR THAT NEWS,0.0,1.380952380952381,39.8567802,21,5,6.322638174370142,6.322638174370142,0.7276051867330717,5,0,9,6,1,21
4,Dwell Time,2,WISHFUL THINKING IS FINE,WISHFUL THINKING IS FINE,0.0,1.4583333333333333,69.4368895,24,4,4.14765122795427,4.14765122795427,0.5040548367305536,1,0,1,1,2,4
4,Dwell Time,3,THE PUNISHMENT SHOULD FIT THE CRIME,THE PUNISHMENT SHOULD FIT THE CRIME,0.0,1.0571428571428572,46.0751767,35,6,9.115537477689152,9.115537477689152,0.8030354444630919,0,0,2,1,0,5
4,Dwell Time,4,THE HIGH WAVES WILL SWAMP US,THE HIGH WAVES WILL SWAMP US,0.0,1.25,50.3839148,28,6,6.6687950178893205,6.6687950178893205,0.6946661476968042,0,0,1,1,1,6
4,Dwell Time,5,THIS PERSON IS A DISASTER,THIS PERSON IS A DISASTER,0.0,1.32,48.3319901,25,5,6.207069052594216,6.207069052594216,0.6827775957853637,2,0,1,2,1,3
