Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
2,Dwell Time,1,I WANT TO HOLD YOUR HAND,I WANT TO HOLD YOUR HAND,0.0,1.0416666666666667,45.9933962,24,6,6.261768510149725,6.261768510149725,0.5435562942838302,3,2,6,1,3,16
2,Dwell Time,2,THE INSULATION IS NOT WORKING,THE INSULATION IS NOT WORKING,0.0,1.3448275862068966,37.3239748,29,5,9.323765806422095,9.323765806422095,1.044904788650752,0,0,1,1,2,5
2,Dwell Time,3,THE COLLAPSE OF THE ROMAN EMPIRE,THE COLLAPSE OF THE ROMAN EMPIRE,0.0,1.375,83.4207663,32,6,4.603170373897657,4.603170373897657,0.5274466053424398,1,0,2,1,2,6
2,Dwell Time,4,I SKIMMED THROUGH YOUR PROPOSAL,I SKIMMED THROUGH YOUR PROPOSAL,0.0,1.1290322580645162,68.0870601,31,5,5.463593220997363,5.463593220997363,0.5140477492873863,0,0,6,1,1,3
2,Dwell Time,5,THE SECOND LARGEST COUNTRY,THE SECOND LARGEST COUNTRY,0.0,1.1538461538461537,31.1336,26,4,10.02132744045019,10.02132744045019,0.9635891769663643,0,0,0,0,1,4
