Id,Technique,Phrase Number,Given Phrase,Typed Phrase,Minimum String Distance Error Rate,Keystrokes Per Character (KSPC) ,Tempo (s),Characters written (including spaces),Words Written,WPM,AWPM,Keystrokes Per Second(KSPS),Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
14,Dwell Time,6,SAVING THAT CHILD WAS AN HEROIC EFFORT,SAVING THAT CHILD WAS AN HEROIC EFFORT,0.0,1.9736842105263157,98.9306173,38,7,4.60929096012019,4.60929096012019,0.7581070658092417,0,2,2,3,0,9
14,Dwell Time,7,WE BETTER INVESTIGATE THIS,WE BETTER INVESTIGATE THIS,0.0,1.3076923076923077,69.347607,26,4,4.499073774816773,4.499073774816773,0.49028368058900723,0,0,1,3,0,4
14,Dwell Time,8,ONE HECK OF A QUESTION,ONE HECK OF A QUESTION,0.0,1.1363636363636365,68.3596488,22,5,3.8619273889540517,3.8619273889540517,0.3657128209236792,0,0,3,3,0,2
15,Dwell Time,1,WHERE DID I LEAVE MY GLASSES,WHERE DID I LEAVE MY GLASSES,0.0,1.4642857142857142,92.2822232,28,6,3.6410046090003605,3.6410046090003605,0.44428925288397253,5,2,5,7,1,12
15,Dwell Time,2,THIS PERSON IS A DISASTER,THIS PERSON IS A DISASTER,0.0,2.88,77.2590007,25,5,3.8830427171186543,3.8830427171186543,0.931930252108477,0,2,2,3,3,5
15,Dwell Time,3,DORMITORY DOORS ARE LOCKED AT MIDNIGHT,DORMITORY DOORS ARE LOCKED AT MIDNIGHT,0.0,1.368421052631579,89.363851,38,6,5.10273443788809,5.10273443788809,0.5818907692328523,1,0,3,2,0,7
15,Dwell Time,4,HOUSE WITH NEW ELECTRICAL PANEL,HOUSE WITH NEW ELECTRICAL PANEL,0.0,3.032258064516129,90.8023811,31,5,4.096808866612419,4.096808866612419,1.035215143713891,8,1,0,0,4,7
15,Dwell Time,5,I AM GOING TO A MUSIC LESSON,I AM GOING TO A MUSIC LESSON,0.0,2.0357142857142856,119.3330385,28,7,2.8156494146421993,2.8156494146421993,0.4776548114125159,7,0,6,2,0,6
15,Dwell Time,6,A GOOD STIMULUS DESERVES A GOOD RESPONSE,A GOOD STIMULUS DESERVES A GOOD RESPONSE,0.0,2.025,105.3914109,40,7,4.554450840927115,4.554450840927115,0.7685635794064505,7,0,4,1,3,7
15,Dwell Time,7,MEDIEVAL TIMES WERE VERY HARD,MEDIEVAL TIMES WERE VERY HARD,0.0,1.3448275862068966,87.3214233,29,5,3.9852763142031833,3.9852763142031833,0.44662579383311535,1,0,3,1,1,5
15,Dwell Time,8,DROVE MY CHEVY TO THE LEVEE,DROVE MY CHEVY TO THE LEVEE,0.0,1.5925925925925926,92.6291558,27,6,3.4978187720890355,3.4978187720890355,0.46421668888835965,0,0,5,3,2,5
16,Dwell Time,1,THE FOURTH EDITION WAS BETTER,THE FOURTH EDITION WAS BETTER,0.0,1.0689655172413792,37.906021,29,5,9.180599567546274,9.180599567546274,0.8178120304423405,3,1,3,8,2,9
16,Dwell Time,2,AN ENLARGED NOSE SUGGESTS YOU ARE A LIAR,AN ENLARGED NOSE SUGGESTS YOU ARE A LIAR,0.0,1.8,140.4115269,40,8,3.418522756624192,3.418522756624192,0.5127784134936288,4,1,4,4,0,8
16,Dwell Time,3,STABILITY OF THE NATION,STABILITY OF THE NATION,0.0,1.173913043478261,40.2688268,23,4,6.853936951547841,6.853936951547841,0.6704938322166366,0,0,2,0,1,3
16,Dwell Time,4,THIS IS A NON PROFIT ORGANIZATION,THIS IS A NON PROFIT ORGANIZATION,0.0,1.303030303030303,63.2222764,33,6,6.263615019088431,6.263615019088431,0.6801400146989962,2,0,1,2,1,4
