Id,Given Phrase,Typed Phrase,Error metric 1,Error metric 2,Tempo (s),Characters written (including spaces),Words Written,WPM,Deleted letters,Deleted words,secondRow,thirdRow,fourthRow,wordsRow
0,SANTA CLAUS GOT STUCK,SANTA CLAUS GOT STUCK ,0,0,59.137610001,22,4,4.058331068772337,0,0,1,1,2,3
0,THE FOURTH EDITION WAS BETTER,THE FOURTH EDITION WAS BETTER ,0,0,53.4546129,30,5,5.6122378168040195,0,0,1,1,0,5
0,LOVE MEANS MANY THINGS,LOVE MEANS MANY THINGS ,0,0,36.5225857,23,4,6.57127625002739,0,0,0,1,0,4
0,MY FINGERS ARE VERY COLD,MY FINGERS ARE VERY COLD ,0,0,80.7661001,25,5,3.71442968805671,0,1,0,0,1,6
